Rank,Term,Score
1,common interest,2
1,united state,2
1,federal authority,2
1,respective member,2
5,awful stand congress,1.584962
5,prudent man choose,1.584962
5,federal government thing,1.584962
5,obvious reason regard,1.584962
9,active influence,1
9,political safety,1
9,political existence,1
9,private credit,1
9,independent nation,1
9,power power,1
9,civil power,1
9,momentary convenience,1
9,full compliance,1
9,state authority,1
9,accurate observer,1
9,firm stand,1
9,political voyage,1
9,public weal,1
9,public danger,1
9,proper object,1
9,constitutional requisition,1
9,imminent peril,1
9,melancholy situation,1
9,persuasive voice,1
9,federal measure,1
9,radical vice,1
9,simple proposition,1
9,waste land,1
9,original inducement,1
9,federal government,1
9,reluctant confession,1
9,perpetual effort,1
9,discretionary superintendence,1
9,unbiased regard,1
9,mere pageant,1
9,confederate government,1
9,natural advantage,1
9,improved land,1
9,civil obedience,1
9,indefinite discretion,1
9,long object,1
9,common council,1
9,mild influence,1
9,perilous situation,1
9,public confidence,1
9,main pillar,1
9,common burden,1
9,blind devotion,1
9,usual vicissitude,1
9,perfect good-humor,1
9,foreign encroachment,1
9,military force,1
9,prejudiced opinion,1
9,direct tendency,1
9,popular assembly,1
9,harmonious resolution,1
9,valuable territory,1
9,evil eye,1
9,desperate extremity,1
9,material defect,1
9,epidemical rage,1
9,sacred knot,1
9,indispensable resource,1
9,full display,1
9,party compact,1
9,practicable abandoning,1
9,partial imperfection,1
9,satisfactory provision,1
9,speculative man,1
9,material imperfection,1
9,human selfishness,1
9,fundamental error,1
9,free participation,1
9,free people,1
9,public misfortune,1
9,inferior orb,1
9,political monster,1
9,express stipulation,1
9,unblushing violation,1
9,unnatural decrease,1
9,intelligent friend,1
9,collective capacities,1
9,singular instance,1
9,bad action,1
9,alternate friend,1
9,foreign power,1
91,fatal charm,0
91,owe debt,0
91,private capacity,0
91,mere recommendation,0
91,low point,0
91,principal defect,0
91,mimic sovereignty,0
91,human nature,0
91,dark catalogue,0
91,collective body,0
91,military execution,0
91,exterior pressure,0
91,public credit,0
91,depreciate property,0
91,external attempt,0
91,common centre,0
91,delinquent state,0
91,quadruple alliance,0
91,substantial substitute,0
91,strenuous opposition,0
91,suspicious scrutiny,0
91,human conduct,0
